standard_normalized,reward_fn_normalized,detection_counters,confusion_matrix,post_processing_strategy,anomaly_threshold,topk,long_window,short_window,precision,recall,f1,accuracy,standard_raw,reward_fn_raw
-9.498554748854497,9.45710385164091,"{'issue_detected': 2, 'issue_detected_ids': [3, 12], 'im_detected': 7, 'im_detected_ids': [6, 7, 8, 9, 14, 16, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 9, 'tn': 0, 'fp': 191, 'fn': 10}","[[25330   191]
 [  918    49]]",,,,,,0.20416666666666666,0.050672182006204755,0.0811930405965203,0.958131984294775,-22.60945080456471,-32.60945080456468
-9.498554748854497,9.45710385164091,"{'issue_detected': 1, 'issue_detected_ids': [3], 'im_detected': 5, 'im_detected_ids': [6, 7, 8, 9, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 6, 'tn': 0, 'fp': 39, 'fn': 13}","[[25482    39]
 [  953    14]]",mahalanobis,99.8,1,0,0,0.2641509433962264,0.014477766287487,0.0274509803921568,0.9625490788281486,-13.924028340235882,-26.92402834023589
-9.498554748854497,9.45710385164091,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 4, 'im_detected_ids': [6, 7, 8, 14], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 5, 'tn': 0, 'fp': 45, 'fn': 14}","[[25476    45]
 [  959     8]]",max,99.8,1,0,0,0.1509433962264151,0.0082730093071354,0.0156862745098039,0.9620960434913924,-15.179857046805497,-29.179857046805505
-9.498554748854497,9.45710385164091,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 4, 'im_detected_ids': [6, 7, 14, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 4, 'tn': 0, 'fp': 42, 'fn': 15}","[[25479    42]
 [  956    11]]",mahalanobis,99.8,1,0,0,0.2075471698113207,0.0113753877973112,0.0215686274509803,0.9623225611597704,-17.221403180792176,-32.22140318079218
-9.498554748854497,9.45710385164091,"{'issue_detected': 1, 'issue_detected_ids': [12], 'im_detected': 4, 'im_detected_ids': [6, 7, 8, 14], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 5, 'tn': 0, 'fp': 45, 'fn': 14}","[[25476    45]
 [  959     8]]",max,99.8,1,0,0,0.1509433962264151,0.0082730093071354,0.0156862745098039,0.9620960434913924,-15.194109730158129,-29.19410973015813
-9.498554748854497,9.45710385164091,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 1, 'im_detected_ids': [16], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 1, 'tn': 0, 'fp': 25, 'fn': 18}","[[25496    25]
 [  966     1]]",likelihood,0.99975,1,30,2,0.0384615384615384,0.0010341261633919,0.0020140986908358,0.9625868317728784,-19.9850672547669,-37.9850672547669
-9.498554748854497,9.45710385164091,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 2, 'im_detected_ids': [7, 14], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 2, 'tn': 0, 'fp': 27, 'fn': 17}","[[25494    27]
 [  941    26]]",max,99.8,1,0,0,0.490566037735849,0.0268872802481902,0.0509803921568627,0.9634551495016612,-17.27543689176382,-34.27543689176382
-9.498554748854497,9.45710385164091,"{'issue_detected': 0, 'issue_detected_ids': [], 'im_detected': 3, 'im_detected_ids': [7, 14, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 3, 'tn': 0, 'fp': 24, 'fn': 16}","[[25497    24]
 [  964     3]]",mahalanobis,99.9,1,0,0,0.1111111111111111,0.0031023784901758,0.0060362173038229,0.9627000906070674,-15.797911282008332,-31.79791128200833
-62.66556683418759,-20.724412977177632,"{'issue_detected': 2, 'issue_detected_ids': [3, 12], 'im_detected': 7, 'im_detected_ids': [6, 7, 8, 9, 14, 16, 17], 'TestLog_detected': 3, 'TestLog_detected_ids': [4, 10, 11], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 12, 'tn': 0, 'fp': 432, 'fn': 7}","[[25089   432]
 [  917    50]]",,,,,,0.1037344398340249,0.05170630816959669,0.06901311249137336,0.9490712775596497,-42.812915396991286,-49.81291539699125
-62.66556683418759,-20.724412977177632,"{'issue_detected': 1, 'issue_detected_ids': [3], 'im_detected': 6, 'im_detected_ids': [6, 7, 8, 9, 14, 17], 'TestLog_detected': 0, 'TestLog_detected_ids': [], 'gt_issue_ids': [3, 12, 13], 'gt_im_ids': [0, 5, 6, 7, 8, 9, 14, 16, 17], 'gt_TestLog_ids': [1, 2, 4, 10, 11, 15, 18], 'tp': 7, 'tn': 0, 'fp': 63, 'fn': 12}","[[25458    63]
 [  950    17]]",mahalanobis,99.7,1,0,0,0.2125,0.0175801447776628,0.0324737344794651,0.9617562669888252,-14.020250189602695,-26.020250189602688
